"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Behavior Modifier 1","Interval Channel 1 Behavior Modifier 2","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Weather_15","Question: Temperature_11","Question: Humidity_14","Question: Respiration Rate: average of 3 coun_16","Question: Ear Temperature_20","Question: Body Temperature_21","Question: Forearm Temperature_22"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:24:58","2022-05-07","09:24:58","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","4","Activity","Feeding","","","","","","","3","7","3, 7","147","412","147, 412","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:25:14","2022-05-07","09:25:14","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","5","Activity","Feeding","","","","","","","3","7","3, 7","149","411","149, 411","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:25:30","2022-05-07","09:25:30","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","6","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","148","413","148, 413","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:25:46","2022-05-07","09:25:46","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","7","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","150","409","150, 409","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:26:02","2022-05-07","09:26:02","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","8","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","148","411","148, 411","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:26:18","2022-05-07","09:26:18","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","9","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","146","413","146, 413","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:26:34","2022-05-07","09:26:34","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","10","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","149","412","149, 412","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:26:50","2022-05-07","09:26:50","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","11","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","146","411","146, 411","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:27:06","2022-05-07","09:27:06","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","12","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","146","412","146, 412","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:27:22","2022-05-07","09:27:22","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","13","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","144","411","144, 411","Rain","1","1","1","1","1","1"
